country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GB,United Kingdom,,,4/2/2020,-75,-32,-24,-73,-70,29
GB,United Kingdom,,,4/3/2020,-76,-30,-25,-72,-69,29
GB,United Kingdom,,,4/10/2020,-78,-33,-18,-75,-80,32
GB,United Kingdom,,,4/13/2020,-78,-41,-21,-78,-83,31
GB,United Kingdom,,,4/17/2020,-75,-30,-33,-71,-68,29
GB,United Kingdom,Aberdeen City,,3/27/2020,-80,-28,-28,-69,-69,30
GB,United Kingdom,Aberdeen City,,4/1/2020,-79,-30,-27,-68,-70,29
GB,United Kingdom,Aberdeen City,,4/2/2020,-81,-33,-33,-72,-71,30
GB,United Kingdom,Aberdeen City,,4/3/2020,-80,-29,-33,-70,-70,30
GB,United Kingdom,Aberdeen City,,4/8/2020,-80,-32,-32,-67,-71,29
GB,United Kingdom,Aberdeen City,,4/9/2020,-80,-24,-19,-67,-72,29
GB,United Kingdom,Aberdeen City,,4/10/2020,-80,-25,-28,-68,-73,30
GB,United Kingdom,Aberdeen City,,4/13/2020,-82,-38,-20,-72,-76,30
GB,United Kingdom,Aberdeen City,,4/16/2020,-80,-29,-16,-66,-71,29
GB,United Kingdom,Aberdeen City,,4/17/2020,-80,-27,-6,-67,-71,30
GB,United Kingdom,Aberdeen City,,4/24/2020,-81,-27,-7,-70,-68,29
GB,United Kingdom,Antrim And Newtownabbey,,3/27/2020,-67,-24,,-79,-65,29
GB,United Kingdom,Antrim And Newtownabbey,,4/1/2020,-66,-29,,-80,-69,29
GB,United Kingdom,Antrim And Newtownabbey,,4/2/2020,-68,-28,,-81,-70,30
GB,United Kingdom,Antrim And Newtownabbey,,4/3/2020,-67,-27,,-82,-68,30
GB,United Kingdom,Antrim And Newtownabbey,,4/10/2020,-62,-25,,-81,-72,30
GB,United Kingdom,Antrim And Newtownabbey,,4/14/2020,-66,-30,,-78,-79,31
GB,United Kingdom,Antrim And Newtownabbey,,4/15/2020,-57,-21,,-74,-70,29
GB,United Kingdom,Antrim And Newtownabbey,,4/16/2020,-58,-22,,-78,-70,29
GB,United Kingdom,Antrim And Newtownabbey,,4/17/2020,-61,-23,,-80,-69,29
GB,United Kingdom,Ards And North Down,,4/2/2020,-68,-27,-51,-69,-72,29
GB,United Kingdom,Ards And North Down,,4/3/2020,-68,-24,-45,-68,-70,29
GB,United Kingdom,Ards And North Down,,4/10/2020,-66,-19,-44,-65,-73,29
GB,United Kingdom,"Armagh City, Banbridge And Craigavon",,4/13/2020,-75,-38,-52,-71,-81,31
GB,United Kingdom,Bath and North East Somerset,,3/25/2020,-82,-31,-16,-73,-72,29
GB,United Kingdom,Bath and North East Somerset,,3/26/2020,-83,-32,-18,-72,-74,29
GB,United Kingdom,Bath and North East Somerset,,3/27/2020,-86,-35,-38,-74,-73,30
GB,United Kingdom,Bath and North East Somerset,,3/30/2020,-85,-40,-45,-76,-75,29
GB,United Kingdom,Bath and North East Somerset,,4/1/2020,-86,-39,-34,-77,-75,30
GB,United Kingdom,Bath and North East Somerset,,4/2/2020,-85,-37,-32,-77,-75,30
GB,United Kingdom,Bath and North East Somerset,,4/3/2020,-86,-37,-32,-75,-74,31
GB,United Kingdom,Bath and North East Somerset,,4/8/2020,-85,-35,-23,-74,-76,29
GB,United Kingdom,Bath and North East Somerset,,4/9/2020,-83,-26,-13,-71,-76,29
GB,United Kingdom,Bath and North East Somerset,,4/15/2020,-85,-37,-16,-73,-75,29
GB,United Kingdom,Bath and North East Somerset,,4/16/2020,-85,-35,-17,-72,-74,30
GB,United Kingdom,Bath and North East Somerset,,4/17/2020,-89,-45,-61,-79,-75,32
GB,United Kingdom,Bath and North East Somerset,,4/22/2020,-84,-39,-9,-70,-74,29
GB,United Kingdom,Bath and North East Somerset,,4/23/2020,-84,-33,2,-68,-74,29
GB,United Kingdom,Bath and North East Somerset,,4/24/2020,-86,-36,-14,-70,-73,30
GB,United Kingdom,Bedford,,4/1/2020,-78,-31,-20,-70,-67,29
GB,United Kingdom,Bedford,,4/2/2020,-77,-29,-9,-72,-66,29
GB,United Kingdom,Bedford,,4/3/2020,-78,-28,-9,-68,-66,29
GB,United Kingdom,Bedford,,4/10/2020,-79,-31,7,-70,-80,33
GB,United Kingdom,Bedford,,4/13/2020,-81,-43,-22,-78,-83,33
GB,United Kingdom,Bedford,,4/17/2020,-77,-28,-2,-66,-65,29
GB,United Kingdom,Belfast,,3/27/2020,-77,-28,-44,-77,-71,29
GB,United Kingdom,Belfast,,4/2/2020,-77,-34,-43,-79,-74,29
GB,United Kingdom,Belfast,,4/3/2020,-77,-32,-49,-79,-73,30
GB,United Kingdom,Belfast,,4/10/2020,-76,-26,-41,-78,-75,29
GB,United Kingdom,Belfast,,4/13/2020,-78,-45,-33,-83,-85,30
GB,United Kingdom,Belfast,,4/14/2020,-75,-36,-29,-80,-81,29
GB,United Kingdom,Belfast,,4/17/2020,-74,-28,-25,-77,-73,29
GB,United Kingdom,Bracknell Forest,,3/25/2020,-68,-15,,-72,-69,30
GB,United Kingdom,Bracknell Forest,,3/26/2020,-70,-21,,-72,-72,31
GB,United Kingdom,Bracknell Forest,,4/20/2020,-73,-30,,-65,-72,29
GB,United Kingdom,Bracknell Forest,,4/21/2020,-72,-27,,-67,-73,31
GB,United Kingdom,Bracknell Forest,,4/22/2020,-72,-29,,-69,-72,31
GB,United Kingdom,Bracknell Forest,,4/23/2020,-71,-26,,-67,-72,31
GB,United Kingdom,Bracknell Forest,,4/24/2020,-73,-27,,-65,-70,30
GB,United Kingdom,Brighton and Hove,,3/26/2020,-79,-31,5,-72,-74,29
GB,United Kingdom,Brighton and Hove,,3/27/2020,-81,-35,-18,-73,-74,30
GB,United Kingdom,Brighton and Hove,,3/31/2020,-80,-36,-5,-72,-76,29
GB,United Kingdom,Brighton and Hove,,4/1/2020,-80,-37,-5,-73,-76,29
GB,United Kingdom,Brighton and Hove,,4/2/2020,-81,-37,-9,-75,-75,30
GB,United Kingdom,Brighton and Hove,,4/3/2020,-82,-36,-15,-72,-74,30
GB,United Kingdom,Brighton and Hove,,4/7/2020,-80,-36,4,-71,-76,29
GB,United Kingdom,Brighton and Hove,,4/9/2020,-78,-25,24,-70,-76,29
GB,United Kingdom,Brighton and Hove,,4/10/2020,-84,-37,-6,-75,-84,33
GB,United Kingdom,Brighton and Hove,,4/13/2020,-84,-46,-16,-81,-87,32
GB,United Kingdom,Brighton and Hove,,4/14/2020,-79,-34,-8,-71,-75,29
GB,United Kingdom,Brighton and Hove,,4/15/2020,-80,-33,5,-71,-75,29
GB,United Kingdom,Brighton and Hove,,4/16/2020,-80,-34,8,-71,-75,30
GB,United Kingdom,Brighton and Hove,,4/17/2020,-84,-38,-44,-75,-75,31
GB,United Kingdom,Brighton and Hove,,4/21/2020,-79,-35,11,-70,-74,29
GB,United Kingdom,Brighton and Hove,,4/24/2020,-81,-33,2,-69,-72,29
GB,United Kingdom,Buckinghamshire,,3/25/2020,-68,-25,-6,-66,-67,29
GB,United Kingdom,Buckinghamshire,,3/26/2020,-70,-26,10,-68,-69,30
GB,United Kingdom,Buckinghamshire,,3/27/2020,-73,-28,-17,-69,-69,31
GB,United Kingdom,Buckinghamshire,,3/30/2020,-72,-32,-28,-72,-72,30
GB,United Kingdom,Buckinghamshire,,3/31/2020,-71,-29,-15,-70,-73,31
GB,United Kingdom,Buckinghamshire,,4/1/2020,-73,-32,-26,-72,-73,31
GB,United Kingdom,Buckinghamshire,,4/2/2020,-73,-31,-13,-73,-73,32
GB,United Kingdom,Buckinghamshire,,4/3/2020,-73,-30,-11,-70,-72,31
GB,United Kingdom,Buckinghamshire,,4/6/2020,-70,-31,-15,-71,-73,30
GB,United Kingdom,Buckinghamshire,,4/7/2020,-71,-27,-6,-68,-74,31
GB,United Kingdom,Buckinghamshire,,4/8/2020,-70,-26,-8,-67,-74,31
GB,United Kingdom,Buckinghamshire,,4/9/2020,-66,-18,1,-66,-74,30
GB,United Kingdom,Buckinghamshire,,4/10/2020,-77,-35,-8,-74,-85,35
GB,United Kingdom,Buckinghamshire,,4/13/2020,-77,-42,-12,-79,-87,34
GB,United Kingdom,Buckinghamshire,,4/14/2020,-69,-26,-5,-66,-73,30
GB,United Kingdom,Buckinghamshire,,4/15/2020,-68,-27,2,-66,-72,31
GB,United Kingdom,Buckinghamshire,,4/16/2020,-69,-28,2,-67,-73,31
GB,United Kingdom,Buckinghamshire,,4/17/2020,-73,-32,-27,-70,-71,32
GB,United Kingdom,Buckinghamshire,,4/20/2020,-69,-31,8,-65,-71,29
GB,United Kingdom,Buckinghamshire,,4/21/2020,-70,-30,4,-64,-71,30
GB,United Kingdom,Buckinghamshire,,4/22/2020,-69,-29,5,-64,-70,30
GB,United Kingdom,Buckinghamshire,,4/23/2020,-68,-27,20,-64,-70,30
GB,United Kingdom,Buckinghamshire,,4/24/2020,-70,-28,10,-65,-69,30
GB,United Kingdom,Caerphilly County Borough,,4/10/2020,-70,-31,-29,-58,-78,29
GB,United Kingdom,Cambridgeshire,,3/26/2020,-76,-28,-8,-72,-69,29
GB,United Kingdom,Cambridgeshire,,3/27/2020,-78,-29,-19,-74,-69,30
GB,United Kingdom,Cambridgeshire,,3/31/2020,-76,-29,-10,-74,-71,29
GB,United Kingdom,Cambridgeshire,,4/1/2020,-79,-33,-29,-75,-71,30
GB,United Kingdom,Cambridgeshire,,4/2/2020,-77,-32,-21,-75,-72,30
GB,United Kingdom,Cambridgeshire,,4/3/2020,-79,-30,-19,-77,-70,30
GB,United Kingdom,Cambridgeshire,,4/6/2020,-75,-32,-22,-75,-72,29
GB,United Kingdom,Cambridgeshire,,4/7/2020,-76,-29,-3,-73,-72,29
GB,United Kingdom,Cambridgeshire,,4/8/2020,-76,-26,-5,-73,-72,29
GB,United Kingdom,Cambridgeshire,,4/9/2020,-72,-19,-10,-72,-72,29
GB,United Kingdom,Cambridgeshire,,4/10/2020,-80,-34,-13,-81,-83,34
GB,United Kingdom,Cambridgeshire,,4/13/2020,-82,-45,-36,-84,-86,34
GB,United Kingdom,Cambridgeshire,,4/14/2020,-74,-26,-6,-72,-71,29
GB,United Kingdom,Cambridgeshire,,4/15/2020,-76,-28,2,-72,-71,29
GB,United Kingdom,Cambridgeshire,,4/16/2020,-75,-29,0,-72,-71,30
GB,United Kingdom,Cambridgeshire,,4/17/2020,-77,-29,-17,-74,-70,30
GB,United Kingdom,Cambridgeshire,,4/21/2020,-77,-29,6,-72,-70,29
GB,United Kingdom,Cambridgeshire,,4/22/2020,-77,-29,10,-72,-69,29
GB,United Kingdom,Cambridgeshire,,4/23/2020,-76,-29,6,-71,-69,29
GB,United Kingdom,Cambridgeshire,,4/24/2020,-77,-28,3,-73,-68,29
GB,United Kingdom,Cardiff,,3/26/2020,-78,-34,-32,-79,-72,29
GB,United Kingdom,Cardiff,,3/27/2020,-82,-32,-43,-80,-71,30
GB,United Kingdom,Cardiff,,3/31/2020,-79,-35,-32,-80,-74,29
GB,United Kingdom,Cardiff,,4/1/2020,-80,-36,-46,-82,-74,29
GB,United Kingdom,Cardiff,,4/2/2020,-80,-36,-38,-81,-74,30
GB,United Kingdom,Cardiff,,4/3/2020,-80,-31,-38,-79,-73,30
GB,United Kingdom,Cardiff,,4/7/2020,-78,-33,-33,-79,-74,29
GB,United Kingdom,Cardiff,,4/8/2020,-78,-30,-32,-80,-74,29
GB,United Kingdom,Cardiff,,4/10/2020,-81,-34,-37,-81,-83,32
GB,United Kingdom,Cardiff,,4/13/2020,-81,-45,-33,-85,-85,31
GB,United Kingdom,Cardiff,,4/16/2020,-77,-32,-28,-79,-73,29
GB,United Kingdom,Cardiff,,4/17/2020,-83,-36,-66,-81,-73,31
GB,United Kingdom,Cardiff,,4/24/2020,-79,-31,-27,-77,-70,29
GB,United Kingdom,Central Bedfordshire,,3/26/2020,-68,-24,16,-60,-66,29
GB,United Kingdom,Central Bedfordshire,,3/27/2020,-71,-23,0,-61,-66,29
GB,United Kingdom,Central Bedfordshire,,3/31/2020,-69,-24,4,-63,-70,29
GB,United Kingdom,Central Bedfordshire,,4/1/2020,-71,-27,-15,-65,-70,30
GB,United Kingdom,Central Bedfordshire,,4/2/2020,-70,-27,-4,-65,-70,31
GB,United Kingdom,Central Bedfordshire,,4/3/2020,-72,-25,4,-65,-69,30
GB,United Kingdom,Central Bedfordshire,,4/6/2020,-66,-28,-2,-66,-70,29
GB,United Kingdom,Central Bedfordshire,,4/7/2020,-69,-24,10,-63,-71,30
GB,United Kingdom,Central Bedfordshire,,4/8/2020,-68,-22,10,-63,-71,30
GB,United Kingdom,Central Bedfordshire,,4/9/2020,-65,-14,24,-62,-71,29
GB,United Kingdom,Central Bedfordshire,,4/10/2020,-75,-30,12,-69,-84,34
GB,United Kingdom,Central Bedfordshire,,4/13/2020,-75,-39,-5,-75,-87,34
GB,United Kingdom,Central Bedfordshire,,4/14/2020,-68,-21,13,-62,-70,29
GB,United Kingdom,Central Bedfordshire,,4/15/2020,-67,-24,35,-62,-70,30
GB,United Kingdom,Central Bedfordshire,,4/16/2020,-68,-25,31,-61,-70,30
GB,United Kingdom,Central Bedfordshire,,4/17/2020,-71,-27,-4,-65,-69,31
GB,United Kingdom,Central Bedfordshire,,4/21/2020,-68,-23,24,-57,-68,29
GB,United Kingdom,Central Bedfordshire,,4/22/2020,-67,-22,24,-56,-68,29
GB,United Kingdom,Central Bedfordshire,,4/23/2020,-67,-21,34,-56,-68,29
GB,United Kingdom,Central Bedfordshire,,4/24/2020,-68,-23,33,-56,-67,29
GB,United Kingdom,Cheshire East,,4/10/2020,-78,-38,-23,-77,-82,31
GB,United Kingdom,Cheshire East,,4/13/2020,-75,-44,-17,-78,-84,31
GB,United Kingdom,Cheshire West and Chester,,4/10/2020,-83,-39,-27,-75,-82,32
GB,United Kingdom,Cheshire West and Chester,,4/13/2020,-82,-42,-14,-76,-84,31
GB,United Kingdom,City of Bristol,,3/25/2020,-80,-30,1,-77,-71,30
GB,United Kingdom,City of Bristol,,3/26/2020,-79,-32,21,-78,-72,32
GB,United Kingdom,City of Bristol,,3/27/2020,-82,-34,-7,-79,-72,33
GB,United Kingdom,City of Bristol,,3/30/2020,-80,-39,-15,-81,-75,31
GB,United Kingdom,City of Bristol,,3/31/2020,-79,-33,10,-80,-75,31
GB,United Kingdom,City of Bristol,,4/1/2020,-81,-38,-21,-81,-75,33
GB,United Kingdom,City of Bristol,,4/2/2020,-81,-37,1,-82,-75,33
GB,United Kingdom,City of Bristol,,4/3/2020,-81,-33,11,-79,-73,33
GB,United Kingdom,City of Bristol,,4/6/2020,-79,-36,12,-80,-75,31
GB,United Kingdom,City of Bristol,,4/7/2020,-80,-33,22,-80,-75,31
GB,United Kingdom,City of Bristol,,4/8/2020,-80,-31,2,-80,-75,32
GB,United Kingdom,City of Bristol,,4/9/2020,-78,-21,30,-79,-75,32
GB,United Kingdom,City of Bristol,,4/10/2020,-84,-34,18,-83,-84,36
GB,United Kingdom,City of Bristol,,4/13/2020,-84,-44,16,-85,-86,35
GB,United Kingdom,City of Bristol,,4/14/2020,-78,-29,28,-79,-74,31
GB,United Kingdom,City of Bristol,,4/15/2020,-80,-32,11,-79,-74,32
GB,United Kingdom,City of Bristol,,4/16/2020,-80,-31,28,-80,-75,32
GB,United Kingdom,City of Bristol,,4/17/2020,-84,-37,-43,-83,-74,35
GB,United Kingdom,City of Bristol,,4/20/2020,-78,-36,33,-79,-73,30
GB,United Kingdom,City of Bristol,,4/21/2020,-77,-33,44,-79,-73,31
GB,United Kingdom,City of Bristol,,4/22/2020,-79,-34,19,-79,-73,31
GB,United Kingdom,City of Bristol,,4/23/2020,-78,-30,46,-79,-73,31
GB,United Kingdom,City of Bristol,,4/24/2020,-79,-31,27,-79,-72,32
GB,United Kingdom,County Durham,,4/10/2020,-74,-34,-15,-61,-80,30
GB,United Kingdom,County Durham,,4/13/2020,-75,-39,-22,-67,-83,29
GB,United Kingdom,Cumbria,,4/10/2020,-79,-40,-43,-69,-79,29
GB,United Kingdom,Derby,,4/10/2020,-76,-29,20,-81,-80,31
GB,United Kingdom,Derby,,4/13/2020,-77,-38,6,-84,-83,30
GB,United Kingdom,Derbyshire,,4/10/2020,-77,-30,-17,-61,-80,31
GB,United Kingdom,Derbyshire,,4/13/2020,-80,-38,-11,-66,-84,31
GB,United Kingdom,Devon,,4/10/2020,-82,-40,-24,-69,-80,29
GB,United Kingdom,Dorset,,4/10/2020,-80,-37,-16,-65,-81,30
GB,United Kingdom,Dorset,,4/13/2020,-79,-41,-9,-67,-84,29
GB,United Kingdom,East Riding of Yorkshire,,4/10/2020,-76,-33,-34,-50,-79,30
GB,United Kingdom,East Riding of Yorkshire,,4/13/2020,-80,-40,-37,-60,-82,30
GB,United Kingdom,East Sussex,,4/10/2020,-79,-34,-14,-67,-80,29
GB,United Kingdom,East Sussex,,4/13/2020,-80,-42,-31,-72,-83,29
GB,United Kingdom,Edinburgh,,3/24/2020,-78,-29,-37,-78,-74,29
GB,United Kingdom,Edinburgh,,3/25/2020,-80,-33,-32,-81,-78,31
GB,United Kingdom,Edinburgh,,3/26/2020,-83,-36,-50,-84,-80,33
GB,United Kingdom,Edinburgh,,3/27/2020,-84,-36,-65,-84,-79,33
GB,United Kingdom,Edinburgh,,3/30/2020,-81,-39,-31,-84,-81,31
GB,United Kingdom,Edinburgh,,3/31/2020,-82,-36,-34,-83,-81,32
GB,United Kingdom,Edinburgh,,4/1/2020,-82,-36,-34,-84,-80,32
GB,United Kingdom,Edinburgh,,4/2/2020,-83,-37,-36,-86,-81,33
GB,United Kingdom,Edinburgh,,4/3/2020,-84,-37,-55,-85,-80,33
GB,United Kingdom,Edinburgh,,4/6/2020,-81,-39,-25,-84,-81,31
GB,United Kingdom,Edinburgh,,4/7/2020,-82,-36,-18,-83,-81,32
GB,United Kingdom,Edinburgh,,4/8/2020,-82,-35,-19,-83,-81,31
GB,United Kingdom,Edinburgh,,4/9/2020,-82,-35,-42,-85,-81,32
GB,United Kingdom,Edinburgh,,4/10/2020,-84,-35,-49,-85,-83,34
GB,United Kingdom,Edinburgh,,4/13/2020,-84,-46,-19,-86,-86,32
GB,United Kingdom,Edinburgh,,4/14/2020,-81,-38,-32,-84,-81,32
GB,United Kingdom,Edinburgh,,4/15/2020,-81,-36,-9,-82,-80,31
GB,United Kingdom,Edinburgh,,4/16/2020,-83,-39,-42,-85,-81,33
GB,United Kingdom,Edinburgh,,4/17/2020,-84,-35,-53,-85,-79,33
GB,United Kingdom,Edinburgh,,4/20/2020,-80,-37,-15,-83,-79,30
GB,United Kingdom,Edinburgh,,4/21/2020,-81,-34,-18,-83,-80,31
GB,United Kingdom,Edinburgh,,4/22/2020,-82,-35,-22,-83,-79,31
GB,United Kingdom,Edinburgh,,4/23/2020,-81,-34,-15,-83,-79,32
GB,United Kingdom,Edinburgh,,4/24/2020,-82,-32,-27,-81,-78,32
GB,United Kingdom,Essex,,4/1/2020,-71,-33,-22,-77,-69,29
GB,United Kingdom,Essex,,4/2/2020,-71,-32,-13,-79,-70,29
GB,United Kingdom,Essex,,4/3/2020,-72,-31,-14,-79,-69,29
GB,United Kingdom,Essex,,4/10/2020,-75,-37,-7,-82,-83,33
GB,United Kingdom,Essex,,4/13/2020,-76,-44,-25,-85,-85,33
GB,United Kingdom,Essex,,4/17/2020,-71,-31,-15,-78,-68,29
GB,United Kingdom,Falkirk,,4/10/2020,-73,-26,-10,-61,-73,29
GB,United Kingdom,Glasgow City,,3/26/2020,-80,-34,-51,-83,-73,29
GB,United Kingdom,Glasgow City,,3/27/2020,-82,-35,-52,-84,-74,31
GB,United Kingdom,Glasgow City,,4/1/2020,-80,-34,-43,-84,-76,29
GB,United Kingdom,Glasgow City,,4/2/2020,-80,-36,-49,-84,-76,30
GB,United Kingdom,Glasgow City,,4/3/2020,-81,-35,-55,-84,-75,31
GB,United Kingdom,Glasgow City,,4/9/2020,-78,-31,-45,-84,-75,29
GB,United Kingdom,Glasgow City,,4/10/2020,-80,-32,-34,-85,-79,31
GB,United Kingdom,Glasgow City,,4/13/2020,-79,-42,-14,-86,-82,29
GB,United Kingdom,Glasgow City,,4/16/2020,-77,-32,-38,-83,-75,29
GB,United Kingdom,Glasgow City,,4/17/2020,-79,-32,-44,-83,-74,30
GB,United Kingdom,Gloucestershire,,4/10/2020,-81,-40,-25,-69,-82,32
GB,United Kingdom,Gloucestershire,,4/13/2020,-81,-45,-25,-72,-85,32
GB,United Kingdom,Gloucestershire,,4/17/2020,-80,-37,-43,-68,-67,29
GB,United Kingdom,Greater London,,3/24/2020,-76,-25,-19,-72,-70,31
GB,United Kingdom,Greater London,,3/25/2020,-79,-28,-17,-76,-73,33
GB,United Kingdom,Greater London,,3/26/2020,-80,-32,-20,-77,-75,34
GB,United Kingdom,Greater London,,3/27/2020,-81,-32,-30,-77,-75,35
GB,United Kingdom,Greater London,,3/30/2020,-79,-36,-41,-79,-77,33
GB,United Kingdom,Greater London,,3/31/2020,-79,-35,-30,-79,-78,34
GB,United Kingdom,Greater London,,4/1/2020,-81,-36,-32,-80,-78,35
GB,United Kingdom,Greater London,,4/2/2020,-81,-36,-28,-80,-78,36
GB,United Kingdom,Greater London,,4/3/2020,-81,-34,-27,-79,-77,36
GB,United Kingdom,Greater London,,4/6/2020,-78,-35,-24,-79,-77,33
GB,United Kingdom,Greater London,,4/7/2020,-79,-33,-9,-78,-78,34
GB,United Kingdom,Greater London,,4/8/2020,-80,-33,-19,-79,-78,34
GB,United Kingdom,Greater London,,4/9/2020,-78,-26,-10,-78,-78,34
GB,United Kingdom,Greater London,,4/10/2020,-83,-35,-13,-82,-85,38
GB,United Kingdom,Greater London,,4/13/2020,-83,-43,-20,-85,-87,37
GB,United Kingdom,Greater London,,4/14/2020,-78,-32,-16,-78,-77,33
GB,United Kingdom,Greater London,,4/15/2020,-79,-32,-6,-78,-77,34
GB,United Kingdom,Greater London,,4/16/2020,-79,-32,-15,-79,-76,34
GB,United Kingdom,Greater London,,4/17/2020,-81,-34,-43,-79,-75,36
GB,United Kingdom,Greater London,,4/20/2020,-77,-34,1,-77,-75,32
GB,United Kingdom,Greater London,,4/21/2020,-78,-33,-3,-77,-75,33
GB,United Kingdom,Greater London,,4/22/2020,-79,-32,3,-77,-74,33
GB,United Kingdom,Greater London,,4/23/2020,-78,-30,8,-77,-74,33
GB,United Kingdom,Greater London,,4/24/2020,-79,-30,-5,-75,-73,34
GB,United Kingdom,Greater Manchester,,4/3/2020,-74,-30,-23,-77,-68,29
GB,United Kingdom,Greater Manchester,,4/10/2020,-77,-36,-15,-80,-81,32
GB,United Kingdom,Greater Manchester,,4/13/2020,-76,-39,-6,-82,-83,31
GB,United Kingdom,Hampshire,,4/1/2020,-74,-30,-18,-71,-70,29
GB,United Kingdom,Hampshire,,4/2/2020,-74,-29,-11,-71,-70,29
GB,United Kingdom,Hampshire,,4/3/2020,-75,-29,-18,-71,-69,29
GB,United Kingdom,Hampshire,,4/7/2020,-73,-28,-7,-67,-71,29
GB,United Kingdom,Hampshire,,4/10/2020,-79,-34,-16,-75,-83,33
GB,United Kingdom,Hampshire,,4/13/2020,-78,-40,-13,-78,-86,33
GB,United Kingdom,Hampshire,,4/16/2020,-72,-28,2,-67,-69,29
GB,United Kingdom,Hampshire,,4/17/2020,-78,-35,-47,-73,-70,30
GB,United Kingdom,Herefordshire,,4/10/2020,-78,-38,-16,-60,-75,29
GB,United Kingdom,Hertfordshire,,3/25/2020,-71,-25,0,-73,-68,30
GB,United Kingdom,Hertfordshire,,3/26/2020,-72,-28,-1,-74,-70,31
GB,United Kingdom,Hertfordshire,,3/27/2020,-74,-30,-8,-74,-69,31
GB,United Kingdom,Hertfordshire,,3/30/2020,-72,-34,-29,-77,-73,30
GB,United Kingdom,Hertfordshire,,3/31/2020,-71,-30,-6,-76,-73,31
GB,United Kingdom,Hertfordshire,,4/1/2020,-74,-33,-25,-78,-73,32
GB,United Kingdom,Hertfordshire,,4/2/2020,-73,-32,-11,-78,-73,32
GB,United Kingdom,Hertfordshire,,4/3/2020,-74,-32,-3,-76,-72,32
GB,United Kingdom,Hertfordshire,,4/6/2020,-72,-33,-18,-76,-73,30
GB,United Kingdom,Hertfordshire,,4/7/2020,-71,-30,3,-75,-74,31
GB,United Kingdom,Hertfordshire,,4/8/2020,-72,-30,-4,-75,-74,31
GB,United Kingdom,Hertfordshire,,4/9/2020,-68,-23,-2,-74,-73,31
GB,United Kingdom,Hertfordshire,,4/10/2020,-77,-36,4,-80,-84,35
GB,United Kingdom,Hertfordshire,,4/13/2020,-78,-44,-14,-83,-87,35
GB,United Kingdom,Hertfordshire,,4/14/2020,-69,-28,3,-74,-73,30
GB,United Kingdom,Hertfordshire,,4/15/2020,-70,-30,8,-74,-72,31
GB,United Kingdom,Hertfordshire,,4/16/2020,-71,-31,6,-74,-72,31
GB,United Kingdom,Hertfordshire,,4/17/2020,-74,-32,-17,-76,-71,32
GB,United Kingdom,Hertfordshire,,4/20/2020,-70,-33,11,-73,-70,29
GB,United Kingdom,Hertfordshire,,4/21/2020,-70,-30,22,-72,-71,30
GB,United Kingdom,Hertfordshire,,4/22/2020,-71,-31,18,-72,-70,30
GB,United Kingdom,Hertfordshire,,4/23/2020,-70,-29,23,-72,-70,30
GB,United Kingdom,Hertfordshire,,4/24/2020,-72,-29,21,-71,-69,30
GB,United Kingdom,Kent,,4/10/2020,-77,-36,-9,-69,-80,32
GB,United Kingdom,Kent,,4/13/2020,-80,-44,-35,-75,-83,32
GB,United Kingdom,Kingston upon Hull,,4/10/2020,-73,-32,-26,-69,-77,29
GB,United Kingdom,Kingston upon Hull,,4/13/2020,-75,-40,-40,-75,-79,29
GB,United Kingdom,Lancashire,,4/10/2020,-77,-33,-4,-71,-79,30
GB,United Kingdom,Lancashire,,4/13/2020,-76,-36,-2,-72,-81,29
GB,United Kingdom,Leicester,,4/10/2020,-75,-30,-3,-76,-76,29
GB,United Kingdom,Leicester,,4/13/2020,-77,-42,-25,-82,-78,29
GB,United Kingdom,Leicestershire,,4/1/2020,-73,-29,-28,-63,-68,29
GB,United Kingdom,Leicestershire,,4/3/2020,-74,-28,-15,-65,-67,29
GB,United Kingdom,Leicestershire,,4/10/2020,-75,-31,-12,-70,-82,32
GB,United Kingdom,Leicestershire,,4/13/2020,-77,-41,-19,-75,-85,32
GB,United Kingdom,Lisburn and Castlereagh,,3/25/2020,-74,-26,-67,-64,-65,29
GB,United Kingdom,Lisburn and Castlereagh,,3/26/2020,-75,-28,,-65,-68,30
GB,United Kingdom,Lisburn and Castlereagh,,3/27/2020,-77,-29,,-67,-68,30
GB,United Kingdom,Lisburn and Castlereagh,,3/31/2020,-73,-30,,-71,-71,30
GB,United Kingdom,Lisburn and Castlereagh,,4/1/2020,-75,-31,-73,-70,-71,31
GB,United Kingdom,Lisburn and Castlereagh,,4/2/2020,-75,-30,,-72,-71,32
GB,United Kingdom,Lisburn and Castlereagh,,4/3/2020,-75,-30,,-66,-71,31
GB,United Kingdom,Lisburn and Castlereagh,,4/7/2020,-70,-29,,-68,-72,30
GB,United Kingdom,Lisburn and Castlereagh,,4/8/2020,-71,-28,-67,-68,-72,29
GB,United Kingdom,Lisburn and Castlereagh,,4/9/2020,-68,-23,,-66,-72,31
GB,United Kingdom,Lisburn and Castlereagh,,4/10/2020,-73,-28,,-67,-74,31
GB,United Kingdom,Lisburn and Castlereagh,,4/15/2020,-69,-27,-67,-61,-72,30
GB,United Kingdom,Lisburn and Castlereagh,,4/16/2020,-70,-28,,-65,-72,31
